Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Itens Cardapio JSON,773306,7,0,19003,234.45,99.963%,10304.70124,26472.45,0.50,2630.6
TOTAL,773306,7,0,19003,234.45,99.963%,10304.70124,26472.45,0.50,2630.6
